Var1,Var2,dice1,dice2,avg_dice,avg_dice_Z
1,10d,0.9467005076142132,0.7749077490774908,0.8608041283458521,0.9799771609253186
1,10pp,0.9467005076142132,0.7958115183246073,0.8712560129694102,1.1180174571386616
1,10r,0.9467005076142132,0.8809523809523809,0.9138264442832971,1.6802543321280232
1,10v,0.9467005076142132,0.8225108225108225,0.8846056650625178,1.2943291937917873
1,11l,0.9467005076142132,0.8978328173374613,0.9222666624758373,1.7917261155781996
1,13l,0.9467005076142132,0.7939698492462312,0.8703351784302222,1.1058557966218125
1,2,0.9467005076142132,0.8898163606010017,0.9182584341076074,1.738788578361795
1,23c,0.9467005076142132,0.8828125,0.9147565038071066,1.6925378290079383
1,23d,0.9467005076142132,0.8247422680412371,0.8857213878277251,1.309064785175378
1,24dd,0.9467005076142132,0.8662420382165605,0.9064712729153869,1.5831129962929769
1,24dv,0.9467005076142132,0.8791946308724832,0.9129475692433482,1.6686468397743854
1,25,0.9467005076142132,0.9107142857142857,0.9287073966642494,1.876790282206661
1,31a,0.9467005076142132,0.6470588235294118,0.7968796655718124,0.13571298327472303
1,31pd,0.9467005076142132,0.8465608465608465,0.8966306770875299,1.4531461231482632
1,31pv,0.9467005076142132,0.8545454545454545,0.9006229810798339,1.505873343694613
1,33pr,0.9467005076142132,0.7716535433070866,0.8591770254606499,0.9584876619179683
1,3a,0.9467005076142132,0.9056,0.9261502538071066,1.8430175445451484
1,3b,0.9467005076142132,0.9584438549955792,0.9525721813048962,2.1919776440569136
1,4,0.9467005076142132,0.9411764705882353,0.9439384891012242,2.0779506075812684
1,43,0.9467005076142132,0.8888888888888888,0.917794698251551,1.73266391881566
1,44,0.9467005076142132,0.8028169014084507,0.874758704511332,1.1642782603722743
1,45,0.9467005076142132,0.8,0.8733502538071066,1.145676547914127
1,46,0.9467005076142132,0.706140350877193,0.8264204292457031,0.5258642253503371
1,47l,0.9467005076142132,0.7280701754385965,0.8373853415264049,0.6706801885661756
1,47m,0.9467005076142132,0.8771929824561403,0.9119467450351768,1.65542873843388
1,47s,0.9467005076142132,0.8981132075471698,0.9224068575806915,1.7935777025884612
1,52,0.9467005076142132,0.688,0.8173502538071066,0.40607246057819424
1,55b,0.9467005076142132,0.6666666666666666,0.8066835871404399,0.2651954915618256
1,5L,0.9467005076142132,0.7428571428571429,0.844778825235678,0.7683275237631412
1,5m,0.9467005076142132,0.803030303030303,0.8748654053222581,1.1656874810130424
1,5mv,0.9467005076142132,0.8272506082725061,0.8869755579433596,1.3256288805992678
1,6a,0.9467005076142132,0.8812589413447782,0.9139797244794957,1.6822787367640264
1,6d,0.9467005076142132,0.8433734939759037,0.8950370007950584,1.4320980963660803
1,6ma,0.9467005076142132,0.8733850129198967,0.9100427602670549,1.6302824006351597
1,6mp,0.9467005076142132,0.9184060721062619,0.9325532898602376,1.9275838237639877
1,6r,0.9467005076142132,0.8158415841584158,0.8812710458863144,1.2502881585698447
1,6v,0.9467005076142132,0.7821782178217822,0.8644393627179977,1.0279884859264434
1,7AL,0.9467005076142132,0.862533692722372,0.9046171001682926,1.558624536607658
1,7Am,0.9467005076142132,0.905940594059406,0.9263205508368095,1.8452666941742462
1,7m,0.9467005076142132,0.9283018867924528,0.937501197203333,1.9929319040267177
1,7PC,0.9467005076142132,0.8174386920980926,0.882069599856153,1.2608348332136108
